City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Cidreira,BR,2022-05-22 22:52:39,-30.1811,-50.2056,59.34,76,99,5.21
68,Bengkulu,ID,2022-05-22 22:49:25,-3.8004,102.2655,75.34,89,35,3.71
69,Russell,US,2022-05-22 22:52:40,32.3502,-85.1999,79.02,73,0,4.61
70,Agadir,MA,2022-05-22 22:52:41,30.4202,-9.5982,68.45,76,34,4.59
71,Atuona,PF,2022-05-22 22:52:42,-9.8,-139.0333,77.94,79,28,17.47
72,Santa Maria,BR,2022-05-22 22:52:42,-29.6842,-53.8069,54.7,94,0,4.61
73,Mingshui,CN,2022-05-22 22:52:43,36.7167,117.5,76.44,38,65,5.3
74,Santo Tomas,PH,2022-05-22 22:52:43,14.1079,121.1414,79.05,89,97,0.98
75,Guajara,BR,2022-05-22 22:52:44,-2.9667,-57.6667,77.36,84,91,1.86
76,Kapit,MY,2022-05-22 22:52:45,2.0167,112.9333,73.81,90,81,1.07
77,Maceio,BR,2022-05-22 22:51:20,-9.6658,-35.7353,76.44,83,40,3.44
78,Sinnamary,GF,2022-05-22 22:49:03,5.3833,-52.95,76.64,89,97,5.55
79,Chokurdakh,RU,2022-05-22 22:52:46,70.6333,147.9167,32.85,99,100,4.32
80,Arraial Do Cabo,BR,2022-05-22 22:52:47,-22.9661,-42.0278,71.46,68,0,10.36
81,Beyla,GN,2022-05-22 22:52:47,8.6833,-8.6333,68.23,94,67,2.93
82,Jasper,US,2022-05-22 22:52:48,37.2001,-94.3502,64.99,45,40,14.97
83,Leningradskiy,RU,2022-05-22 22:52:48,69.3833,178.4167,36.91,93,100,4.52
84,Butaritari,KI,2022-05-22 22:50:47,3.0707,172.7902,82.06,78,60,11.83
85,Codrington,AU,2022-05-22 22:52:49,-38.2667,141.9667,47.46,79,1,5.77
86,Bubaque,GW,2022-05-22 22:52:50,11.2833,-15.8333,78.17,75,39,15.61
87,Brae,GB,2022-05-22 22:52:51,60.3964,-1.353,50.43,98,100,10.71
88,Los Llanos De Aridane,ES,2022-05-22 22:52:51,28.6585,-17.9182,65.95,89,100,17.27
89,Punta Arenas,CL,2022-05-22 22:52:51,-53.15,-70.9167,37.51,75,75,12.66
90,Khatanga,RU,2022-05-22 22:52:52,71.9667,102.5,31.96,92,100,7.7
91,Tasiilaq,GL,2022-05-22 22:52:52,65.6145,-37.6368,35.04,98,100,11.23
92,Sabha,LY,2022-05-22 22:52:53,27.0377,14.4283,75.83,11,35,10.98
93,Tabas,IR,2022-05-22 22:52:53,33.5959,56.9244,70.7,24,2,2.26
94,Altoona,US,2022-05-22 22:52:53,40.5187,-78.3947,67.89,96,68,6.62
95,Lagoa,PT,2022-05-22 22:52:54,39.05,-27.9833,61.68,93,100,10.96
96,Port-Gentil,GA,2022-05-22 22:53:55,-0.7193,8.7815,78.76,83,75,11.5
97,Kenai,US,2022-05-22 22:53:55,60.5544,-151.2583,70.03,18,0,10.36
98,Hobart,AU,2022-05-22 22:50:41,-42.8794,147.3294,47.26,94,20,11.5
99,Kentau,KZ,2022-05-22 22:53:56,43.5206,68.5094,54.63,46,6,4.07
100,Paracatu,BR,2022-05-22 22:52:11,-17.2222,-46.8747,62.87,56,0,2.62
101,Atar,MR,2022-05-22 22:53:57,20.5169,-13.0499,90.36,18,53,4.47
102,Scarborough,GB,2022-05-22 22:53:58,54.2797,-0.4044,58.93,81,100,5.99
103,Nanfeng,CN,2022-05-22 22:53:58,23.7434,111.7959,71.92,98,100,2.95
104,Husavik,IS,2022-05-22 22:53:59,66.0449,-17.3389,37.89,94,100,8.63
105,Pimentel,PE,2022-05-22 22:53:59,-6.8367,-79.9342,68.29,64,0,25.32
106,Moen,NO,2022-05-22 22:54:00,69.1304,18.6123,43.52,87,75,0.0
107,Marsa Matruh,EG,2022-05-22 22:54:00,31.3525,27.2453,64.6,77,0,9.22
108,Kavieng,PG,2022-05-22 22:54:01,-2.5744,150.7967,84.85,63,15,18.66
109,Carnarvon,AU,2022-05-22 22:54:01,-24.8667,113.6333,69.6,58,32,14.72
110,Felipe Carrillo Puerto,MX,2022-05-22 22:54:02,19.5833,-88.05,85.96,65,63,8.79
111,Asilah,MA,2022-05-22 22:54:03,35.465,-6.0348,66.16,88,27,5.93
112,Saskylakh,RU,2022-05-22 22:54:03,71.9167,114.0833,32.34,93,100,8.46
113,Sayyan,YE,2022-05-22 22:54:04,15.1718,44.3244,64.27,16,39,6.69
114,Narsaq,GL,2022-05-22 22:54:05,60.9167,-46.05,35.13,94,98,6.38
115,Olga,RU,2022-05-22 22:54:05,43.7444,135.2892,48.27,90,81,7.45
116,East London,ZA,2022-05-22 22:54:05,-33.0153,27.9116,59.54,84,2,4.23
117,Polunochnoye,RU,2022-05-22 22:54:06,60.8697,60.4153,30.97,97,98,5.88
118,Malakal,SS,2022-05-22 22:54:06,9.5334,31.6605,78.64,64,100,3.42
119,Pangnirtung,CA,2022-05-22 22:54:07,66.1451,-65.7125,29.79,96,94,5.21
120,Merrill,US,2022-05-22 22:50:58,45.1805,-89.6835,55.17,51,100,9.22
121,Khor,RU,2022-05-22 22:54:08,47.8861,134.9464,51.98,68,60,7.4
122,Nouadhibou,MR,2022-05-22 22:54:09,20.931,-17.0347,66.18,88,1,16.11
123,At-Bashi,KG,2022-05-22 22:54:09,41.1702,75.8106,40.08,99,100,2.71
124,Solnechnyy,RU,2022-05-22 22:54:09,50.7214,136.6319,47.05,61,87,2.95
125,Barrow,US,2022-05-22 22:49:29,71.2906,-156.7887,24.82,80,100,8.05
126,Ostrovnoy,RU,2022-05-22 22:50:48,68.0531,39.5131,30.6,81,20,9.46
127,Mandalgovi,MN,2022-05-22 22:54:10,45.7625,106.2708,59.56,29,11,1.7
128,Goderich,CA,2022-05-22 22:54:11,43.7501,-81.7165,52.12,76,100,6.91
129,Babu,CN,2022-05-22 22:54:12,24.4167,111.5167,68.14,99,100,1.07
130,Jawor,PL,2022-05-22 22:54:13,51.0513,16.1935,51.87,89,10,3.11
131,Waingapu,ID,2022-05-22 22:54:13,-9.6567,120.2641,78.89,79,25,8.3
132,Itumba,TZ,2022-05-22 22:54:14,-9.4,33.1833,57.9,85,3,4.34
133,Burgos,ES,2022-05-22 22:54:15,42.3394,-3.7079,66.61,72,45,3.44
134,Antonina,BR,2022-05-22 22:51:18,-25.4286,-48.7119,64.08,99,9,1.1
135,Georgetown,MY,2022-05-22 22:50:07,5.4112,100.3354,80.53,93,20,2.3
136,Huarmey,PE,2022-05-22 22:54:16,-10.0681,-78.1522,66.56,82,8,7.96
137,Zhanaozen,KZ,2022-05-22 22:54:16,43.3,52.8,60.15,37,0,11.83
138,Nuuk,GL,2022-05-22 22:51:08,64.1835,-51.7216,32.88,93,99,35.01
139,Kadaya,RU,2022-05-22 22:54:17,50.9327,119.2911,54.82,56,76,4.14
140,Pevek,RU,2022-05-22 22:55:17,69.7008,170.3133,35.47,90,44,9.46
141,Sault Sainte Marie,CA,2022-05-22 22:53:50,46.5168,-84.3333,50.29,53,0,16.11
142,Vaini,TO,2022-05-22 22:55:18,-21.2,-175.2,80.76,83,20,9.22
143,Nanortalik,GL,2022-05-22 22:55:18,60.1432,-45.2371,35.73,92,99,8.34
144,Achacachi,BO,2022-05-22 22:55:19,-16.05,-68.6833,42.62,43,40,1.39
145,Qaqortoq,GL,2022-05-22 22:55:20,60.7167,-46.0333,33.98,94,93,4.34
146,Zemio,CF,2022-05-22 22:55:21,5.0314,25.1361,69.17,89,100,1.25
147,Kurchum,KZ,2022-05-22 22:55:23,48.5722,83.6542,57.38,69,53,13.42
148,Ponta Do Sol,PT,2022-05-22 22:55:23,32.6667,-17.1,68.63,69,11,3.47
149,Drayton Valley,CA,2022-05-22 22:54:30,53.2168,-114.9854,56.48,48,94,10.04
150,Yar-Sale,RU,2022-05-22 22:55:24,66.8333,70.8333,33.64,93,100,27.49
151,Stanger,ZA,2022-05-22 22:55:25,-29.3282,31.2895,64.29,85,100,11.95
152,Eureka,US,2022-05-22 22:52:19,40.8021,-124.1637,60.21,80,79,8.01
153,Yellowknife,CA,2022-05-22 22:55:26,62.456,-114.3525,37.92,65,100,9.22
154,Savannah,US,2022-05-22 22:55:24,32.0835,-81.0998,82.47,87,75,10.36
155,Constitucion,CL,2022-05-22 22:55:27,-35.3333,-72.4167,52.02,92,100,13.0
156,Tsumeb,NA,2022-05-22 22:55:28,-19.2333,17.7167,53.08,36,0,7.14
157,Chuy,UY,2022-05-22 22:55:28,-33.6971,-53.4616,54.09,80,73,6.02
158,Salalah,OM,2022-05-22 22:55:29,17.0151,54.0924,80.28,82,61,4.7
159,Vila Velha,BR,2022-05-22 22:53:21,-20.3297,-40.2925,71.55,78,75,2.3
160,Pierre,US,2022-05-22 22:50:35,44.3683,-100.351,64.06,30,0,8.99
161,Aksarka,RU,2022-05-22 22:55:30,66.5606,67.7975,33.42,87,100,28.86
162,Dikson,RU,2022-05-22 22:55:30,73.5069,80.5464,23.65,89,75,9.91
163,Waipawa,NZ,2022-05-22 22:55:31,-41.4122,175.5153,52.68,59,75,7.83
164,Andenes,NO,2022-05-22 22:55:32,69.3143,16.1194,44.58,93,100,1.14
165,Saucillo,MX,2022-05-22 22:55:32,28.0167,-105.2833,96.26,8,44,6.64
166,Dingle,PH,2022-05-22 22:55:33,10.9995,122.6711,80.17,81,100,3.94
167,Wodonga,AU,2022-05-22 22:55:34,-36.1167,146.8833,48.96,100,0,3.29
168,Moranbah,AU,2022-05-22 22:55:34,-22.0016,148.0466,63.43,84,100,15.41
169,Port Lincoln,AU,2022-05-22 22:55:35,-34.7333,135.8667,60.75,75,74,9.73
170,Hammerfest,NO,2022-05-22 22:55:36,70.6634,23.6821,46.85,66,75,3.44
171,Pacific Grove,US,2022-05-22 22:55:36,36.6177,-121.9166,76.39,76,33,8.99
172,Canapi,BR,2022-05-22 22:55:37,-9.1174,-37.6012,69.51,83,25,8.05
173,Laguna,US,2022-05-22 22:52:21,38.421,-121.4238,91.06,17,0,5.75
174,Puerto Ayora,EC,2022-05-22 22:52:10,-0.7393,-90.3518,76.96,82,55,8.46
175,Grimshaw,CA,2022-05-22 22:55:37,56.1834,-117.6027,60.42,41,75,9.22
176,Port Elizabeth,ZA,2022-05-22 22:55:38,-33.918,25.5701,53.89,87,0,3.44
